1.00,1.08,1.30,1.00,1.00,0.87,1.00,0.86,1.00,0.70,1.10,1.00,0.91,1.00,1.08,70,278
1.40,1.08,1.15,1.30,1.21,1.00,1.00,0.71,0.82,0.70,1.00,0.95,0.91,0.91,1.08,227,1181
1.00,1.08,1.15,1.30,1.06,0.87,1.07,0.86,1.00,0.86,1.10,0.95,0.91,1.00,1.08,177.9,1248
1.15,0.94,1.15,1.00,1.00,0.87,0.87,1.00,1.00,1.00,1.00,0.95,0.91,1.00,1.08,115.8,480
1.15,0.94,1.15,1.00,1.00,0.87,0.87,1.00,1.00,1.00,1.00,0.95,0.91,1.00,1.08,29.5,120
1.15,0.94,1.15,1.00,1.00,0.87,0.87,1.00,1.00,1.00,1.00,0.95,0.91,1.00,1.08,19.7,60
1.15,0.94,1.15,1.00,1.00,0.87,0.87,1.00,1.00,1.00,1.00,0.95,0.91,1.00,1.08,66.6,300
1.15,0.94,1.15,1.00,1.00,0.87,0.87,1.00,1.00,1.00,1.00,0.95,0.91,1.00,1.08,5.5,18
1.15,0.94,1.15,1.00,1.00,0.87,0.87,1.00,1.00,1.00,1.00,0.95,0.91,1.00,1.08,10.4,50
1.15,0.94,1.15,1.00,1.00,0.87,0.87,1.00,1.00,1.00,1.00,0.95,0.91,1.00,1.08,14,60
1.00,1.00,1.15,1.11,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,16,114
1.15,1.00,1.15,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,6.5,42
1.00,1.00,1.15,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,13,60
1.00,1.00,1.15,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,8,42
1.00,1.00,1.15,1.00,1.00,1.00,1.00,1.00,1.00,0.86,1.00,0.95,0.91,0.91,1.00,90,450
1.15,1.00,1.00,1.11,1.00,1.00,1.00,1.00,0.91,0.86,1.00,1.00,1.00,1.00,1.00,15,90
1.15,1.00,1.15,1.00,1.00,1.00,1.00,1.00,0.91,0.86,1.00,1.00,1.00,1.00,1.00,38,210
1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.91,0.86,1.00,1.00,1.00,1.00,1.00,10,48
1.00,1.16,1.15,1.30,1.21,0.87,1.07,0.71,0.91,1.00,1.10,0.95,0.82,0.83,1.08,161.1,815
1.00,1.16,1.15,1.30,1.21,0.87,1.07,0.71,0.91,1.00,1.10,0.95,0.82,0.83,1.08,48.5,239
1.00,1.16,1.15,1.30,1.21,0.87,1.07,0.71,0.91,1.00,1.10,0.95,0.82,0.83,1.08,32.6,170
1.00,1.16,1.15,1.30,1.21,0.87,1.07,0.71,0.91,1.00,1.10,0.95,0.82,0.83,1.08,12.8,62
1.00,1.16,1.15,1.30,1.21,0.87,1.07,0.71,0.91,1.00,1.10,0.95,0.82,0.83,1.08,15.4,70
1.00,1.16,1.15,1.30,1.21,0.87,1.07,0.71,0.91,1.00,1.10,0.95,0.82,0.83,1.08,16.3,82
1.00,1.16,1.15,1.30,1.21,0.87,1.07,0.71,0.91,1.00,1.10,0.95,0.82,0.83,1.08,35.5,192
1.15,0.94,1.15,1.00,1.00,0.87,0.87,1.00,1.00,1.00,1.00,0.95,0.91,1.00,1.08,25.9,117.6
1.15,0.94,1.15,1.00,1.00,0.87,0.87,1.00,1.00,1.00,1.00,0.95,0.91,1.00,1.08,24.6,117.6
